BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,5000000,2,2,641 Fifth Ave Unit 42H,"New York, NY 10022",New York County,New York,Manhattan
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,2500000,8,4,14 Stuyvesant Ave,"Brooklyn, NY 11221",New York,Kings County,Brooklyn
Brokered by COMPASS,Condo for sale,425000,1,1,640 Ditmas Ave Apt 29,"Brooklyn, NY 11218",Kings County,Brooklyn,Kensington
Brokered by COMPASS,Co-op for sale,280000,3,1,25 Tudor City Pl Apt 2006,"Manhattan, NY 10017",New York,New York County,New York
Brokered by RE MAX Edge,House for sale,1149000,3,2,1714 E 29th St,"Brooklyn, NY 11229",New York,Kings County,Brooklyn
Brokered by The Co-op Connection,Co-op for sale,410000,2,2,110-55 72nd Rd Unit 309,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Sany Realty Group Llc,Co-op for sale,268000,1,1,26-25 141 St Unit 5A,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by Brown Harris Stevens,Co-op for sale,6000000,4,4,480 Park Avenue Ave Unit 18H,"Manhattan, NY 10022",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,4650000,3,3,150 Central Park S,"New York, NY 10019",New York,New York County,New York
Brokered by Corcoran East Side,House for sale,24500000,6,8,52 E 66th St,"New York, NY 10065",New York,New York County,New York
Brokered by Jamie & Connie Real Estate Grp,Condo for sale,660000,2,2,82-25 Queens Blvd Unit 4A,"Elmhurst, NY 11373",Queens County,Queens,Elmhurst
Brokered by Homefinders of SI Inc.,House for sale,465000,2,2,12 Maple Ter,"Staten Island, NY 10306",New York,Richmond County,Staten Island
"Brokered by Nest Seekers International, Midtown",Condo for sale,1175000,2,2,90 William St Apt 6C,"New York, NY 10038",New York County,New York,Manhattan
"Brokered by Ronald Greene, Realtor",Pending,698999,3,2,149-47 115th St,"South Ozone Park, NY 11420",New York,Queens County,Queens
Brokered by Corcoran Park Slope,Pending,5250000,4,4,18 Fillmore Pl,"Brooklyn, NY 11211",New York,Kings County,Brooklyn
Brokered by Century 21 Realty First,House for sale,1078000,3,2,5848 150th St,"Flushing, NY 11355",New York,Queens County,Queens
"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC",Co-op for sale,349000,1,1,8301 Ridge Blvd Apt 4D,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Exp Realty,Co-op for sale,269995,1,1,61-20 Grand Central Pkwy Unit C102,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by RE MAX Edge,Multi-family home for sale,1590000,7,4,144 Bay 50th St,"Brooklyn, NY 11214",United States,New York,Kings County
Brokered by R New York,Contingent,375000,1,1,10 Bay Street Lndg Apt 1G,"Staten Island, NY 10301",Richmond County,Staten Island,Mid Island
Brokered by Corcoran Brooklyn Heights,Multi-family home for sale,6999000,6,3,108 Willow St,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by LoHo Realty Inc,Co-op for sale,1398000,4,2,530 Grand St Unit D4C4,"New York City, NY 10002",New York,New York County,New York
Brokered by Peace Of Mind Realty,House for sale,750000,3,2,857 E 37th St,"East Flatbush, NY 11203",New York,Kings County,Brooklyn
Brokered by Highline Residential - Highline Residential,Co-op for sale,629000,1,1,600 W 111th St Unit 2B,"New York, NY 10025",New York,Manhattan,West 111th Street
Brokered by Century 21 Realty First,House for sale,1150000,3,2,327 Avenue P,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,12500000,4,6,64 E 7th St,"New York, NY 10003",New York,New York County,New York
Brokered by Century 21 Zaloom Realty,House for sale,699900,3,2,22 Oakville St,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Keller Williams Rlty Landmark,Pending,1098888,2,3,34 Center Dr,"Malba, NY 11357",New York,Queens County,Queens
