BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Re/Max In The City,Co-op for sale,125000,3,1,3121 Middletown Rd Apt 1C,"Bronx, NY 10461",Bronx County,The Bronx,Pelham Bay
Brokered by COMPASS,Co-op for sale,2200000,3,3,336 Central Park W Apt 3B,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by Corcoran East Side,Condo for sale,925000,2,1,200 Bowery Apt 2C,"New York, NY 10012",New York County,New York,Manhattan
Brokered by Classic Home Sales,House for sale,639000,3,2,2072 E 74th St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
"Brokered by Tom Crimmins Realty, Ltd.",House for sale,2050000,6,6,254 Flagg Pl,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Jane Mosello Real Estate,Co-op for sale,279000,2,2,4320 Van Cortlandt Park E Apt R,"Bronx, NY 10470",New York,Bronx County,The Bronx
Brokered by COMPASS,Condo for sale,785000,2,2,16 Bay 25th St Unit 4A,"Brooklyn, NY 11214",Kings County,Brooklyn,Bath Beach
Brokered by Ashford Homes,House for sale,669000,3,2,72 Boone St,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Corcoran SoHo,Multi-family home for sale,3650000,4,4,35 Joralemon St,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by Vandenberg -The Townhouse Experts,Townhouse for sale,6700000,4,4,51 W 95th St,"New York, NY 10025",New York,New York County,New York
Brokered by Vantage Realty Partners,Multi-family home for sale,681000,6,3,694 Ashford St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
"Brokered by Robert DeFalco Realty, Inc.",Multi-family home for sale,530000,2,2,87 Murdock Pl,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by Corcoran SoHo,Condo for sale,1700000,2,2,984 Bergen Residence St Apt 1,"Brooklyn, NY 11216",Kings County,Brooklyn,Crown Heights
Brokered by J. Milo Real Estate Ltd,Co-op for sale,339000,1,1,9437 Shore Rd Apt C8,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Keller Williams Village Sq Rlt,House for sale,800000,3,2,1883 E 53rd St,"Old Mill Basin, NY 11234",New York,Kings County,Brooklyn
Brokered by Re/Max In The City,Co-op for sale,189000,1,1,6535 Broadway Apt 1G,"Bronx, NY 10471",Bronx County,The Bronx,North Riverdale
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,4995000,2,2,14 E 75th St Unit 9D,"Manhattan, NY 10021",New York County,New York,Manhattan
"Brokered by Ed Bruno Realty, LLC",Contingent,835000,5,2,393 Guyon Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,999999,2,2,333 E 91st St Apt 10B,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Commerce Realty Group,Condo for sale,575000,3,2,61-20 71st Ave Unit F2A,"Ridgewood, NY 11385",Queens County,Queens,Ridgewood
Brokered by Corcoran Bedford Stuyvesant,Pending,349750,1,1,483 17th St # 2L,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Corcoran West Side,Co-op for sale,385000,1,1,116 Pinehurst Ave Apt B52,"New York, NY 10033",New York,New York County,New York
Brokered by COMPASS,Townhouse for sale,7950000,4,2,20 Jones St,"Manhattan, NY 10014",New York,New York County,New York
Brokered by CHIN - Re/Max in The City,Pending,324900,2,2,5715 Mosholu Ave Apt 6B,"Bronx, NY 10471",Bronx County,The Bronx,North Riverdale
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,175000,3,1,275 Webster Ave Apt 6G,"Brooklyn, NY 11230",Kings County,Brooklyn,Kensington
Brokered by Keller Williams Realty Elite,Multi-family home for sale,915999,5,3,26-39 93rd St,"East Elmhurst, NY 11369",New York,Queens County,Queens
Brokered by RE MAX Edge,Multi-family home for sale,1850000,12,8,1727 E 14th St,"Brooklyn, NY 11229",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - New Development,Condo for sale,40000000,5,6,111 Murray St Ph 2,"New York, NY 10007",New York County,New York,Manhattan
Brokered by Pantiga Group Inc.,Co-op for sale,175000,1,1,190 E Mosholu Pkwy S Apt 3B,"Bronx, NY 10458",Bronx County,The Bronx,West Bronx
"Brokered by SBRW - SBROWNRE,LLC",Pending,850000,2,1,236 E 6th St Apt 3W,"New York, NY 10003",New York County,New York,Manhattan
Brokered by Winzone Realty Inc,House for sale,729000,4,2,118-18 225th St,"Cambria Heights, NY 11411",New York,Queens County,Queens
Brokered by Douglas Elliman - 156 Montague,Townhouse for sale,5995000,6,4,136 Kane St,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by EXP Realty,Co-op for sale,480000,2,1,66-36 Yellowstone Blvd Unit 22B,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,House for sale,4200000,5,4,164 W 88th St,"New York, NY 10024",New York,New York County,New York
Brokered by Daniel Gale Sotheby's International Realty,Townhouse for sale,1198000,4,2,68-09 Olcott St,"Queens, NY 11375",New York,Queens County,Queens
Brokered by eXp Realty BKNY,Co-op for sale,285000,1,1,1293 E 5th St Apt 6B,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Realty Trends Corp,Multi-family home for sale,849000,5,3,43-06 Rockaway Beach Blvd,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by COMPASS,House for sale,549000,3,2,1764 Undercliff Ave,"Bronx, NY 10453",New York,Bronx County,The Bronx
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,729000,2,2,26910 Grand Central Pkwy Apt 12O,"Floral Park, NY 11005",Queens County,Queens,Glen Oaks
Brokered by Douglas Elliman - Bayside,Co-op for sale,199999,1,1,209-10 41st Ave Unit 1F,"Bayside, NY 11361",Queens County,Queens,Bayside
Brokered by Exp Realty,Multi-family home for sale,600000,4,2,4217 Seton Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,599000,3,1,111-20 145th St,"Jamaica, NY 11435",New York,Queens County,Queens
Brokered by Voro Llc,Multi-family home for sale,599000,5,2,716 Decatur St,"Brooklyn, NY 11233",New York,Kings County,Brooklyn
Brokered by Fillmore Real Estate,Condo for sale,725000,3,2,1322 E 14th St Apt 4B,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by BROOKLYN`S 4 U REALTY,Multi-family home for sale,1295000,3,2,2506 E 65th St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home for sale,798888,3,2,849 Rossville Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by J Milo Real Estate,House for sale,529000,3,1,89-22 210th Pl,"Queens, NY 11427",New York,Queens County,Queens
Brokered by COMPASS,Pending,499000,1,1,265 W 131st St Apt 5,"Manhattan, NY 10027",New York County,New York,Manhattan
Brokered by RE MAX Central,Multi-family home for sale,1550000,12,7,174-176 Camden Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by RE/MAX City Square,Co-op for sale,319000,2,1,67-41 Burns St Unit 414,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Ben Bay Realty Company of Staten Island LLC,Contingent,759000,3,4,419 Ogorman Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by JWS REALTY GROUP,Co-op for sale,245000,3,1,5 Tudor City Pl Apt 1818,"Ny, NY 10017",New York County,New York,Manhattan
Brokered by Get Listed Get Sold NYC,Multi-family home for sale,1249000,5,3,2171 W 7th St,"Brooklyn, NY 11223",New York,Kings County,Brooklyn
Brokered by RE MAX Edge,Condo for sale,455000,2,1,449 Medina St Apt 2C,"Staten Island, NY 10306",Richmond County,Staten Island,Oakwood
Brokered by RE MAX Edge,Multi-family home for sale,999900,4,2,29 Bay 10th St,"Brooklyn, NY 11228",New York,Kings County,Brooklyn
Brokered by JM Properties,House for sale,395000,2,1,170 Baden Pl,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Nestapple,Condo for sale,620000,1,1,112 W 72nd St Ph C,"Manhattan, NY 10023",New York County,New York,Manhattan
Brokered by Ilite Realty Inc,Condo for sale,849000,3,2,398 Kings Hwy Unit 308,"Brooklyn, NY 11223",Kings County,Brooklyn,Gravesend
Brokered by Serhant,Co-op for sale,8995000,5,4,38 W 26th St Unit 9TH,"New York, NY 10010",New York County,New York,Manhattan
Brokered by Jnm & Associates Inc,Co-op for sale,650000,3,1,116 Cambridge Pl Apt 3C,"Brooklyn, NY 11238",Kings County,Brooklyn,Clinton Hill
Brokered by COMPASS,Condo for sale,2995000,2,2,120 E 87th St Apt R26B,"Manhattan, NY 10128",New York County,New York,Manhattan
Brokered by Douglas Elliman - Bayside,Condo for sale,495000,2,1,83-71 116th St Unit 4E,"Kew Gardens, NY 11418",Queens County,Queens,Richmond Hill
Brokered by NEUHAUS REALTY INC.,House for sale,675000,3,2,7 Norwood Ct,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,999000,3,1,10 W End Ave Apt 8J,"Manhattan, NY 10023",New York County,New York,Manhattan
Brokered by PPAD - Park Property Advisors,Condo for sale,2250000,2,2,415 DE Graw St Unit Ph,"Brooklyn, NY 11217",New York,Kings County,Brooklyn
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,1299000,9,4,790 Olmstead Ave,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by J. Sikar Realty,Condo for sale,429000,1,1,501 Surf Ave Apt 9D,"Brooklyn, NY 11224",Brooklyn,Coney Island,Surf Avenue
Brokered by Aschan Realty,House for sale,649999,3,2,139-32 Laurelton Pkwy,"Rosedale, NY 11422",New York,Queens County,Queens
Brokered by Brown Harris Stevens - 1926 Broadway,Townhouse for sale,10995000,7,6,318 W 81st St Unit Townhouse,"Manhattan, NY 10024",New York,New York County,New York
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Townhouse for sale,2050000,5,4,26 Rutland Rd Unit Townhouse,"Brooklyn, NY 11225",New York,Kings County,Brooklyn
Brokered by COMPASS,Pending,1299000,4,2,100 W 119th St Apt 3A,"Manhattan, NY 10026",New York County,New York,Manhattan
"Brokered by Behfar Team, Llc",House for sale,1075000,6,2,1455 E 15th St,"Brooklyn, NY 11230",New York,Kings County,Brooklyn
Brokered by TRACEY REAL ESTATE,Co-op for sale,174000,1,1,3105 Avenue V Apt 1H,"Brooklyn, NY 11229",Kings County,Brooklyn,Sheepshead Bay
Brokered by Connie Profaci Realty,House for sale,1193000,2,2,1085 Todt Hill Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Corcoran Bedford Stuyvesant,House for sale,4995000,4,4,464 1st St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Pride Estates,House for sale,898000,5,4,185 Highland Blvd,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by Keller Williams NYC,Multi-family home for sale,1288000,5,3,147-18 16th Rd,"Whitestone, NY 11357",New York,Queens County,Queens
Brokered by Prodigy Real Estate Inc.,House for sale,1749999,4,4,106 Overlook Ave,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by RE MAX Elite,Condo for sale,575000,2,2,101-02 Shore Front Pkwy Unit 26A,"Rockaway Park, NY 11694",Queens County,Queens,Far Rockaway
"Brokered by Nest Seekers International, Midtown",Condo for sale,5100000,4,2,201 W 17th St Ph F,"New York, NY 10011",New York,New York County,New York
Brokered by COMPASS,Condo for sale,2000000,1,2,108 Reade St Unit 4W,"Manhattan, NY 10013",New York County,New York,Manhattan
Brokered by Keller Williams Ny Realty,Co-op for sale,170000,2,1,3555 Kings College Pl Apt 2G,"Bronx, NY 10467",Bronx County,The Bronx,Norwood
Brokered by Corcoran Westside Columbus,Co-op for sale,1295000,2,2,28 Old Fulton St # Thf,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
"Brokered by KMS Realty Group, Inc.",House for sale,749000,3,2,767 Brighton Ave,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1848000,3,4,1862 84th Ave,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,465000,2,2,420 E 51st St Apt 10C,"Manhattan, NY 10022",New York County,New York,Manhattan
Brokered by Voro Llc,Co-op for sale,298999,2,1,229-17 87th Ave Unit Upper,"Queens Village, NY 11427",New York,Queens County,Queens
Brokered by EXIT ALL SEASONS REALTY,Co-op for sale,209900,1,1,3845 Shore Pkwy Apt 5H,"Brooklyn, NY 11235",Kings County,Brooklyn,Sheepshead Bay
Brokered by COMPASS,Co-op for sale,539000,1,1,385 E 18th St Apt 6J,"Brooklyn, NY 11226",Kings County,Brooklyn,Flatbush
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,2975000,3,2,474 Sterling Pl,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Akcess24homes Inc,Multi-family home for sale,2099000,6,5,97-19 63rd Dr,"Rego Park, NY 11374",New York,Queens County,Queens
Brokered by Houlihan Lawrence Bronxville,Co-op for sale,199900,1,1,55 E 190th St Apt 3,"Bronx, NY 10468",Bronx County,The Bronx,Fordham Manor
Brokered by COMPASS,Co-op for sale,789000,2,1,400 E 77th St Apt 4E,"Manhattan, NY 10075",New York County,New York,Manhattan
Brokered by Douglas Elliman - 664 Fulton,House for sale,919000,3,2,941 Newkirk Ave,"Brooklyn, NY 11230",New York,Kings County,Brooklyn
Brokered by Corcoran East Side,House for sale,815599,3,2,3708 Avenue M,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Ashford Homes,Multi-family home for sale,1050000,4,4,97 Excelsior Ave,"Staten Island, NY 10309",New York,Richmond County,Staten Island
Brokered by William Raveis Real Estate - Yorktown Heights,Co-op for sale,289999,1,1,2550 Independence Ave Apt 3C,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by BHHS New York Properties,Co-op for sale,4050000,4,3,1060 Fifth Ave Unit 3C,"New York, NY 10128",New York County,New York,Manhattan
Brokered by RE MAX Edge,Multi-family home for sale,1998000,6,3,578 Ovington Ave,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 237 Smith St,Condo for sale,1250000,3,2,425 14th St Unit D1 /D2,"Brooklyn, NY 11215",New York County,New York,Manhattan
Brokered by Apple Realty Group Corp,Condo for sale,680000,2,2,167-09 Powell Cove Blvd Unit 26,"Beechhurst, NY 11357",Queens County,Queens,Flushing
Brokered by Winzone Realty Inc,House for sale,1299000,4,2,2066 66th St,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by Elegran LLC,Condo for sale,845000,3,2,83-09 Talbot St Unit 5N,"Kew Gardens, NY 11415",Queens County,Queens,Kew Gardens
Brokered by E Realty International Corp,House for sale,2098000,5,4,147-48 8th Ave,"Flushing, NY 11357",New York,Queens County,Queens
Brokered by Fillmore Real Estate,Co-op for sale,899000,2,2,9201 Shore Rd Apt C507,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Keller Williams Rlty Landmark,House for sale,758888,3,1,203-03 34th Ave,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by Redfin Real Estate,Co-op for sale,650000,2,1,332 W 101st St Apt 2R,"New York, NY 10025",New York County,New York,Manhattan
Brokered by Flat Rate Realty Of Queens Ltd,Co-op for sale,169000,1,1,165-20 Highland Ave Unit 105,"Jamaica, NY 11432",Queens County,Queens,Jamaica
Brokered by Prospes Real Estate Corp,Multi-family home for sale,1350000,5,3,58-16 83rd Pl,"Middle Village, NY 11379",New York,Queens County,Queens
Brokered by Brown Harris Stvns Forest Hill,Co-op for sale,695000,2,2,35-25 77th St Unit A16,"Jackson Heights, NY 11372",Queens County,Queens,Flushing
Brokered by Douglas Elliman - Bayside,Multi-family home for sale,1499000,5,2,18 Covert St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by Corcoran West Side,Co-op for sale,445000,1,1,25 Tudor City Pl Apt 419,"New York, NY 10017",United States,New York,New York County
Brokered by Coldwell Banker Advantage,Townhouse for sale,499000,3,2,181 Morningstar Rd,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by COMPASS,Co-op for sale,449000,3,1,440 E 56th St Apt 4D,"Manhattan, NY 10022",New York County,New York,Manhattan
"Brokered by Hall Homes Realty, Inc.",House for sale,649000,4,2,2760 Amboy Rd,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Hometown Properties,Co-op for sale,335000,1,1,7901 4th Ave Apt E5,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Block & Lot Real Estate SVC,Multi-family home for sale,838000,8,4,155-17/19 113th Ave,"Jamaica, NY 11433",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,1495000,2,2,84 Front St Apt 2B,"Brooklyn, NY 11201",Kings County,Brooklyn,Dumbo
Brokered by Century Homes Realty Group LLC,Multi-family home for sale,980000,4,4,262 Zerega Ave,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by RE MAX Edge,House for sale,688000,3,2,2805 W 28th St,"Brooklyn, NY 11224",New York,Kings County,Brooklyn
Brokered by Budget Real Estate Nyc Inc,Multi-family home for sale,679000,6,3,1319 E 96th St,"Brooklyn, NY 11236",New York,Kings County,Brooklyn
Brokered by Keller Williams Legendary,Pending,999888,4,2,29-31 159th St,"Flushing, NY 11358",New York,Queens County,Queens
Brokered by Geo Real Estate Group Inc,Co-op for sale,375000,1,1,240 E 55th St Apt 8E,"New York, NY 10022",New York County,New York,Manhattan
Brokered by Netter Real Estate Inc,House for sale,848724,2,2,53-15 37th Rd,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Townhouse for sale,1595000,3,8,511 W 144th St Unit Townhouse,"Manhattan, NY 10031",New York,New York County,New York
Brokered by City Advance Realty Inc,Condo for sale,568000,2,2,164 Beach 101st St Unit 15A,"Rockaway Park, NY 11694",Queens County,Queens,Rockaway Park
Brokered by Realty Connect USA LLC,Multi-family home for sale,2399000,10,5,3505 214th Pl,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,349000,1,1,510 Ocean Pkwy Apt 4D,"Kensington, NY 11218",New York,Kings County,Brooklyn
Brokered by Realty Trends Corp,Multi-family home for sale,2999990,5,6,226 12th St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Mont Sky Real Estate Hudson,Townhouse for sale,899000,3,2,50-07 63rd St,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Amorelli Realty LLC,Co-op for sale,169000,1,1,21-57 33rd St Unit 5D,"Astoria, NY 11105",Queens County,Queens,Astoria
Brokered by JM Properties,House for sale,449999,4,3,46 Elizabeth St,"Staten Island, NY 10310",New York,Richmond County,Staten Island
"Brokered by River Realty Services, Inc.",Foreclosure,886545,6,4,133-29 Amber St,"Howard Beach, NY 11208",New York,Queens County,Queens
Brokered by Keller Williams Realty Staten Island,Townhouse for sale,495000,3,2,75 N Burgher Ave,"Staten Island, NY 10310",New York,Richmond County,Staten Island
"Brokered by Ed Bruno Realty, LLC",House for sale,749000,4,3,142 Dixon Ave,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by EXIT REALTY PRIME,House for sale,875000,4,3,79-26 268th St,"Glen Oaks, NY 11004",New York,Queens County,Queens
Brokered by RE MAX 1st Choice,Multi-family home for sale,1630000,11,6,42-32 81st St,"Elmhurst, NY 11373",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,849000,2,1,150 W 51st St Apt 808,"Manhattan, NY 10019",New York County,New York,Manhattan
Brokered by Douglas Elliman - 2112 Frederick Douglass Blvd,Pending,110000,1,1,6535 Broadway Apt 3G,"Bronx, NY 10471",Bronx County,The Bronx,North Riverdale
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Pending,299999,2,1,124-21 Flatlands Ave Unit 8B,"Brooklyn, NY 11208",Kings County,Brooklyn,East New York
Brokered by Weichert Realtors TMT Group,Co-op for sale,335000,3,2,18-50 211 St Unit 3D,"Bayside, NY 11360",Queens County,Queens,Bayside
"Brokered by Compass Greater Ny, Llc",Co-op for sale,549000,3,1,7002 Ridge Blvd Apt D11,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by eXp Realty BKNY,Co-op for sale,445000,3,2,2483 W 16th St Apt 3C,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by Keller Williams Realty Staten Island,Contingent,459000,2,1,382 Sprague Ave,"Staten Island, NY 10307",New York,Richmond County,Staten Island
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,399998,4,2,73 Irving Pl,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,9500000,4,4,1 John St # E,"Brooklyn, NY 11201",Kings County,Brooklyn,Dumbo
Brokered by RE MAX Elite,Pending,999000,4,2,121 86th St,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by IHome Realty Group LLC,House for sale,650000,4,2,954 Brooklyn Ave,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by Century 21 Papp Realty,House for sale,880000,3,4,20 Gabriele Ct,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Winzone Realty Inc,House for sale,1350000,5,3,80-31 188th St,"Hollis, NY 11432",New York,Queens County,Queens
Brokered by Tru International Realty Corp,Condo for sale,599000,2,2,131-19 Fowler Ave Unit 2C,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Keller Williams Rlty Landmark,Co-op for sale,225000,1,1,35-45 204 St Unit 399,"Bayside, NY 11361",Queens County,Queens,Auburndale
Brokered by Level,Co-op for sale,220000,3,1,273 Bennett Ave Apt 6E,"New York, NY 10040",New York County,New York,Manhattan
Brokered by RE/MAX Team,Co-op for sale,289000,3,1,2199 Holland Ave Apt 5N,"Bronx, NY 10462",Bronx County,The Bronx,East Bronx
Brokered by Corcoran SoHo,Pending,350000,1,1,2088 Madison Ave Apt 1A,"New York, NY 10037",New York County,New York,Manhattan
Brokered by Realty Connect USA LLC,House for sale,719999,3,2,108-16 36 Ave,"Corona, NY 11368",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,1100000,2,1,170 Broadway Apt 6A,"Brooklyn, NY 11211",Kings County,Brooklyn,Southside
Brokered by Pantiga Group Inc.,Co-op for sale,259000,2,1,800 Grand Concourse Ave Unit Gjn,"Bronx, NY 10451",New York,Bronx County,The Bronx
Brokered by S Sharf Realty Inc,Multi-family home for sale,1699999,6,3,370 Marion St,"Brooklyn, NY 11233",New York,Kings County,Brooklyn
Brokered by CENTURY 21 Professional Realty,House for sale,669000,4,2,134-25 241st St,"Rosedale, NY 11422",New York,Queens County,Queens
Brokered by TREBACH REALTY INC,House for sale,3400000,6,6,5000 Goodridge Ave,"Bronx, NY 10471",New York,Bronx County,The Bronx
Brokered by Keystone Realty USA Corp,Condo for sale,549000,3,2,86-02 Dumont Ave Unit 1B,"Ozone Park, NY 11417",Queens County,Queens,Ozone Park
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,299000,3,1,579 W 215th St Apt 9D,"New York, NY 10034",New York County,New York,Manhattan
Brokered by Serhant,Condo for sale,3345000,2,2,158 Franklin St Fl 3,"New York, NY 10013",New York County,New York,Manhattan
Brokered by Voro Llc,Multi-family home for sale,1198000,6,5,132-31 219th St,"Springfield Gardens, NY 11413",New York,Queens County,Queens
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,897888,3,2,69-29 54th Ave,"Maspeth, NY 11378",New York,Queens County,Queens
Brokered by Anthony T Crews Real Estate LLC,House for sale,575000,4,2,190 Crystal St,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by Coldwell Banker American Homes,Co-op for sale,230000,1,1,43-25 Douglaston Pkwy Unit 6D,"Douglaston, NY 11363",Queens County,Queens,Douglaston
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,775000,1,1,401 W End Ave Unit 3E,"Manhattan, NY 10024",New York County,New York,Manhattan
Brokered by Keller Williams Rty Gold Coast,House for sale,2100000,4,3,150-123 Powells Cove Blvd,"Whitestone, NY 11357",New York,Queens County,Queens
Brokered by RE MAX Edge,House for sale,1080000,6,3,47 Wheeler Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Mark Murphy Properties,Condo for sale,378888,1,1,966 Clove Rd Unit H1,"Staten Island, NY 10301",Richmond County,Staten Island,Castleton Corners
"Brokered by Nest Seekers International, Midtown",Condo for sale,750000,3,2,2132 2nd Ave Unit 7B,"New York, NY 10029",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,7495000,6,4,151 E 79th St Fl 11,"Manhattan, NY 10075",New York County,New York,Manhattan
Brokered by Ozana Realty Group,House for sale,698888,3,2,160 New Dorp Plz,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,850000,1,1,158 India St Apt 3,"Brooklyn, NY 11222",Kings County,Brooklyn,Greenpoint
Brokered by Serhant,Townhouse for sale,2999999,4,3,465 Saint Johns Pl,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Property Professional Realty,Multi-family home for sale,1149999,6,3,86-58 261st St,"Floral Park, NY 11001",New York,Queens County,Queens
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,2025000,2,2,204 Richards Street Richards St Unit 204,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by COMPASS,Townhouse for sale,2695000,3,2,338 Humboldt St,"Brooklyn, NY 11211",New York,Kings County,Brooklyn
Brokered by Brown Harris Stevens,Co-op for sale,192500,1,1,555 Kappock St Apt 12F,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by Gerard R Desgranges,Co-op for sale,395000,1,1,170 W 85th St Apt 4NW,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Bond New York- Columbus Circle,Co-op for sale,699000,2,1,7 W 92nd St Apt 5G,"New York, NY 10025",New York County,New York,Manhattan
Brokered by L I Homes Of Distinction,Multi-family home for sale,649000,4,2,616 Beach 69th St,"Arverne, NY 11692",New York,Queens County,Queens
Brokered by Coldwell Banker Reliable Real Estate,House for sale,689000,3,2,414 Herberton Ave,"Staten Island, NY 10302",New York,Richmond County,Staten Island
Brokered by COMPASS,Co-op for sale,1895000,3,2,378 4th St Apt 4,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by Realty By The Park Inc / Santana Real Estate,Condo for sale,668000,2,2,83-75 117th St Unit 7A,"Kew Gardens, NY 11418",Queens County,Queens,Richmond Hill
"Brokered by Nest Seekers International, Tribeca",Condo for sale,2550000,3,2,422 W 49th St Apt 4A,"New York, NY 10019",New York County,New York,Manhattan
Brokered by COMPASS,Townhouse for sale,5500000,8,6,34 MT Morris Park W,"Manhattan, NY 10027",New York,New York County,New York
"Brokered by Grandeur Realty, Inc.",House for sale,1680000,1,1,314 W 138th St,"New York, NY 10030",New York,New York County,New York
Brokered by Elegran Real Estate And Development,Condo for sale,799000,1,1,155 E 34th St Apt 20A,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Jason Mitchell Real Estate New York,House for sale,680000,3,2,54 E Augusta Ave,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by COMPASS,Co-op for sale,1650000,1,2,92 Horatio St Apt 1L,"Manhattan, NY 10014",New York County,New York,Manhattan
